name,category,subcategory,editorial_group,locality,address,no_storefront,license,service_area,website,phone,verified_at
Geist Builders Group,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,13119 Highway 9,no,"CSLB #1098482 (active, B)",Boulder Creek and Santa Cruz County,https://geistbuildersgroup.com/,831-218-5730,2026-07-15
GNN Construction,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #997768 (active, B)",,,831-247-9771,2026-07-16
Jeff Vedder Painting,General Contractors & Construction,Painting contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #920153 (active, C-33)","San Lorenzo Valley, Santa Cruz County, Central Coast, and greater San Jose",https://vedderpainting.com/,831-338-8080,2026-07-15
Jordan Booth Welding,General Contractors & Construction,Welding,Building and maintaining property,Boulder Creek,,yes,"CSLB #951485 (active, C-60)",,,831-325-3199,2026-07-16
JRG Construction,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #967855 (active, B)",,,831-345-2917,2026-07-16
Kevin Foster Construction,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #936857 (active, B)",,,831-588-2055,2026-07-16
"LK Construction and Management, Inc.",General Contractors & Construction,General contractor and construction management,Building and maintaining property,Boulder Creek,,yes,"CSLB #1010899 (active, B)",,https://lkcm-inc.com/,831-901-1030,2026-07-16
Lotz Construction,General Contractors & Construction,General contractor,Building and maintaining property,Ben Lomond,,yes,"CSLB #865919 (active, B)",,,831-252-3767,2026-07-16
Machado Bros. Painting,General Contractors & Construction,Painting contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1012390 (active, C-33)",,https://www.machadobrospainting.com/,831-331-8741,2026-07-16
Markey Construction,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1145076 (active, B)",,https://www.markeyconstructioninc.com/,(831) 359-1634,2026-07-17
Meadows Custom Builders,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1077781 (active, B)",,https://meadowscustombuilders.com/,408-489-8145,2026-07-16
New Solutions Construction,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #700075 (active, B)",,,831-291-0560,2026-07-16
Oliveira & Sons,General Contractors & Construction,General contractor,Building and maintaining property,Felton,,yes,"CSLB #940607 (active, B)",,,831-239-9655,2026-07-16
Platinum Contracting Services,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1037868 (active, B)",,,650-732-2168,2026-07-16
Robert Bimbi Construction,General Contractors & Construction,General building contractor,Building and maintaining property,Boulder Creek,,no,"CSLB #798373 (active, B)",Santa Cruz and Santa Clara counties,https://robertbimbiconstruction.com/,408-833-2096,2026-07-22
Terry Miller Concrete,General Contractors & Construction,Concrete contractor,Building and maintaining property,Ben Lomond,,yes,"CSLB #755895 (active, C-8)",,,831-336-1133,2026-07-17
VSG Builder,General Contractors & Construction,General contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1141184 (active, B)",,,831-818-5733,2026-07-17
Santa Cruz County Benefits Customer Service,Government & Public Services,"CalFresh, Medi-Cal & Cash Aid","Civic, emergency and community",Santa Cruz,"1020 Emeline Avenue, Building B",no,,"Santa Cruz County, including Boulder Creek",https://santacruzhumanservices.org/EmploymentBenefits/PhoneCustomerServiceCenter/CustomerServices,888-421-8080,2026-07-15
Santa Cruz County Planning & Unified Permit Center,Government & Public Services,"Planning, Building & Permits","Civic, emergency and community",Santa Cruz,"701 Ocean Street, 4th Floor",no,,"Unincorporated County, including Boulder Creek",https://cdi.santacruzcountyca.gov/UPC.aspx,831-454-2580,2026-07-15
"Santa Cruz County Supervisor, District 5",Government & Public Services,County Representation,"Civic, emergency and community",Santa Cruz,"701 Ocean Street, Room 500",no,,"District 5, including Boulder Creek",https://www.santacruzcountyca.gov/government/boardofsupervisors/district5.aspx,831-454-2200,2026-07-15
Santa Cruz County Veterans Services Office,Government & Public Services,Veterans Benefits & Advocacy,"Civic, emergency and community",Santa Cruz,842 Front Street,no,,Santa Cruz County veterans and families,https://www.santacruzhumanservices.org/AdultLongTermCare/VeteransServices/VeteransServicesOffice,831-454-7276,2026-07-15
Coastal Mountain Handyman Services,Handyman & Property Maintenance,Handyman and property maintenance,Building and maintaining property,Boulder Creek,,yes,,,,831-252-1170,2026-07-17
Handyman Dan,Handyman & Property Maintenance,Handyman and property maintenance,Building and maintaining property,Boulder Creek,,yes,,,,831-278-0516,2026-07-17
Squatch Valley Property Services,Handyman & Property Maintenance,Handyman and property maintenance,Building and maintaining property,Boulder Creek,,yes,,,,831-316-3188,2026-07-17
Wes White Handyman & General Maintenance,Handyman & Property Maintenance,Handyman and property maintenance,Building and maintaining property,Boulder Creek,,yes,,,,831-889-0226,2026-07-17
988 Suicide & Crisis Lifeline,Health & Wellness,Suicide & Crisis Support,"Beauty, health and fitness",United States,,no,,"Nationwide, including Boulder Creek",https://988lifeline.org/,988,2026-07-15
BC Day Spa,Health & Wellness,Massage therapy,"Beauty, health and fitness",Boulder Creek,125 Forest Street,no,,Boulder Creek,,831-889-8349,2026-08-17
Boulder Creek Dental,Health & Wellness,Dentistry,"Beauty, health and fitness",Boulder Creek,13270 Big Basin Way,no,,Boulder Creek and surrounding communities,https://www.bouldercreekdental.com/,831-338-2131,2026-07-15
Deer Horn Ranch,Health & Wellness,Equine-assisted psychotherapy,"Beauty, health and fitness",Felton,,yes,"AMFT #161226 (supervised by Jennifer Hope Krasner, LCSW #27831)",San Lorenzo Valley and Santa Cruz County,https://www.deerhornranchfelton.com/,,2026-07-17
Elevated Wellness Massage & Bodywork,Health & Wellness,Massage therapy,"Beauty, health and fitness",Boulder Creek,127 Forest Street,no,,Boulder Creek,https://www.elevatedwellnessmassage.com/,831-345-8043,2026-07-15
"Hunt & Shaw, OD's",Health & Wellness,Optometry,"Beauty, health and fitness",Ben Lomond,7965 Highway 9,no,,San Lorenzo Valley and Scotts Valley,https://www.huntandshaw.com/,831-336-2279,2026-07-17
Kaplan Chiropractic,Health & Wellness,Chiropractic,"Beauty, health and fitness",Boulder Creek,154 Forest Street,no,,Boulder Creek and the San Lorenzo Valley,https://kaplanchiro.com/,831-338-0677,2026-07-17
Mountain Sangha,Health & Wellness,Yoga studio,"Beauty, health and fitness",Boulder Creek,"12788 Highway 9, Suite 1",no,,Boulder Creek and the San Lorenzo Valley,https://www.mountainsangha.com/,831-217-3018,2026-07-15
New Dimensions Acupuncture & Herbology,Health & Wellness,Acupuncture and Chinese medicine,"Beauty, health and fitness",Ben Lomond,550 Hillcrest Drive,no,,San Lorenzo Valley,http://www.ahutif.com/,831-335-1560,2026-07-17
Santa Cruz County Behavioral Health Access & Crisis Line,Health & Wellness,Mental Health Crisis & Mobile Response,"Beauty, health and fitness",Santa Cruz,"1400 Emeline Avenue, Building K",no,,All Santa Cruz County residents,https://www.santacruzhealth.org/BehavioralHealth/Programs/CrisisServices.aspx,800-952-2335,2026-07-15
Spa Santangelo,Health & Wellness,Wellness spa,"Beauty, health and fitness",Felton,,yes,,Felton and the San Lorenzo Valley,https://spasantangelo.com/,831-335-8335,2026-07-17
Cozy Firewood,Home Services & Repair,Firewood delivery,Building and maintaining property,Felton,,yes,,Felton and the San Lorenzo Valley,https://www.instagram.com/cozyfirewood/,831-235-4343,2026-07-16
Dr Spa,Home Services & Repair,Pool and hot tub service,Building and maintaining property,Santa Cruz,,yes,"CSLB #758115 (active, C-61/D35)",,,408-799-8609,2026-07-17
Good Sense Termite,Home Services & Repair,Termite control,Building and maintaining property,Campbell,,yes,,"Santa Cruz Mountains, including Felton and Boulder Creek",https://www.goodsensetermite.com/,408-418-9152,2026-07-16
Lambert & Son Moving,Home Services & Repair,Moving and storage,Building and maintaining property,Santa Cruz,2638 17th Avenue,no,,"Santa Cruz County, including Boulder Creek, Ben Lomond, and Felton",https://lambertmoving.com/,831-420-0419,2026-07-16
Mountain Propane Service,Home Services & Repair,Propane supplier,Building and maintaining property,Felton,6576 Highway 9,no,,San Lorenzo Valley and greater Santa Cruz County,http://www.mountainpropaneservice.com/,831-335-9193,2026-07-16
Rational Moving,Home Services & Repair,Moving company,Building and maintaining property,Santa Cruz,,yes,BHGS Household Mover Permit MTR0192109,"Santa Cruz County, including Boulder Creek, Ben Lomond, and Felton",https://rationalmoving.com/,831-425-1448,2026-07-17
Safeguard Chimney Sweep Company,Home Services & Repair,Chimney sweep,Building and maintaining property,Watsonville,,yes,,"Santa Cruz County, including Boulder Creek and the San Lorenzo Valley",https://www.safeguardchimneysweepco.com/,831-201-8156,2026-07-16
Santa Cruz Appliance Repair,Home Services & Repair,Appliance repair,Building and maintaining property,Santa Cruz,250-B Potrero Street,no,,"Santa Cruz County, including Boulder Creek, Ben Lomond, and Felton",https://www.santacruzappliancerepair.com/,831-466-6095,2026-07-16
XterminatriX Holistic Pest Control,Home Services & Repair,Pest control,Building and maintaining property,Felton,,yes,,"San Lorenzo Valley, including Boulder Creek, Felton, and Ben Lomond",https://xterminatrix.com/,855-284-5233,2026-07-16
Clean Mountain House Cleaning,House Cleaning,House cleaning,Building and maintaining property,Boulder Creek,,yes,,Boulder Creek and the Santa Cruz Mountains,https://www.facebook.com/cleanmountainhc/,831-585-5841,2026-07-17
San Lorenzo Valley Housekeeping,House Cleaning,House cleaning,Building and maintaining property,Boulder Creek,,yes,,Boulder Creek and the San Lorenzo Valley,http://www.lochdog.com/SLVHousekeeping/,831-566-8979,2026-07-16
Santa Cruz Maids,House Cleaning,House cleaning,Building and maintaining property,Santa Cruz,,yes,,"Santa Cruz County, including Scotts Valley and Felton",https://www.scruzmaids.com/,831-480-6420,2026-07-16
SCM Custom Cleaning,House Cleaning,House cleaning,Building and maintaining property,Boulder Creek,,yes,,San Lorenzo Valley and surrounding Santa Cruz Mountains,https://scmcustomcleaning.wordpress.com/,831-222-0402,2026-07-17
Soap Bubble Cleaning Service,House Cleaning,House cleaning,Building and maintaining property,Brookdale,,yes,,San Lorenzo Valley,https://www.facebook.com/profile.php?id=100066753095564,831-252-0720,2026-08-08
Brenda's Face Painting,Kids Parties,Face painting,"Weddings, parties and events",Santa Cruz,,yes,,"Santa Cruz County, including the San Lorenzo Valley",https://www.brendasfacepainting.com/,,2026-07-17
Happily Ever Laughter,Kids Parties,"Kids party entertainment (characters, magic, puppets)","Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://happilyeverlaughter.com/,,2026-07-17
Haven Play Lounge and Cafe,Kids Parties,Indoor kids play lounge and party venue,"Weddings, parties and events",Scotts Valley,"108 Whispering Pines Drive, Suite 125",no,,Scotts Valley and Santa Cruz County,https://havenplayloungeandevents.com/,831-331-7349,2026-07-17
JuneBugs Gym,Kids Parties,Kids party venue (gymnastics),"Weddings, parties and events",Santa Cruz,,no,,Santa Cruz County,https://junebugsgym.com/,831-464-2847,2026-07-17
Kianti's Pizza & Pasta Bar,Kids Parties,Kids party venue (pizza making),"Weddings, parties and events",Santa Cruz,,no,,Santa Cruz County,https://kiantis.com/pizza-parties,831-469-4400,2026-07-17
Primal Henna Arts,Kids Parties,Henna and body art,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County and Monterey Bay,https://primalhennaarts.wixsite.com/primalhenna,,2026-07-17
Santa Cruz Beach Boardwalk,Kids Parties,"Kids party venue (bowling, arcade, laser tag)","Weddings, parties and events",Santa Cruz,,no,,Santa Cruz County,https://beachboardwalk.com/attractions/,,2026-07-17
Vargas Academy,Kids Parties,Kids party venue (gymnastics),"Weddings, parties and events",Scotts Valley,,no,,San Lorenzo Valley and Santa Cruz County,https://vargasacademy.com/,831-438-8242,2026-07-17
Angus Hill Landscapes,Landscaping & Gardening,Landscaping contractor,Building and maintaining property,Boulder Creek,,yes,"CSLB #1127823 (active, C-27)",,,650-799-0477,2026-07-17
"Baxter Landscaping, Inc.",Landscaping & Gardening,Landscaping contractor,Building and maintaining property,Ben Lomond,,yes,"CSLB #829811 (active, C-27)",,https://www.baxterlandscapinginc.com/,831-246-0537,2026-07-16
Dragonfly Landscape Services,Landscaping & Gardening,Gardening and yard maintenance,Building and maintaining property,Boulder Creek,,yes,,San Lorenzo Valley,,831-227-3848,2026-07-17
Good Earth Landscape & Design,Landscaping & Gardening,Landscaping contractor,Building and maintaining property,Ben Lomond,,yes,"CSLB #874175 (active, C-27)",,,831-359-6211,2026-07-17
Greenman Gardening,Landscaping & Gardening,Gardening and yard maintenance,Building and maintaining property,San Lorenzo Valley,,yes,,,,831-566-6045,2026-07-17
Hannah Soriano Gardens,Landscaping & Gardening,Gardening and yard maintenance,Building and maintaining property,Boulder Creek,,yes,"CSLB #1031253 (active, C-27)",San Lorenzo Valley,https://www.instagram.com/hannahsorianogardens/,303-882-8161,2026-07-17
Silverfern Gardens,Landscaping & Gardening,Gardening and yard maintenance,Building and maintaining property,Boulder Creek,,yes,,San Lorenzo Valley,,(831) 239-8221,2026-07-17
Simple Wonders Landscape and Design,Landscaping & Gardening,Gardening and yard maintenance,Building and maintaining property,Boulder Creek,,yes,,,,831-333-6709,2026-07-17
Brookdale Lodge,Lodging,Historic hotel with restaurant and lounge,Wineries and lodging,Brookdale,11570 Highway 9,no,,,https://www.brookdalelodge.com/,831-609-6010,2026-07-17
Fern River Resort,Lodging,Riverside cabin resort,Wineries and lodging,Felton,5250 Highway 9,no,,Felton and Santa Cruz Mountains visitors,https://www.fernriverresort.com/,831-335-4412,2026-07-17
Henry Cowell Redwoods State Park Campground,Lodging,State park campground,Wineries and lodging,Felton,101 North Big Trees Park Road,no,,Campers visiting the San Lorenzo Valley and Santa Cruz Mountains,https://www.parks.ca.gov/?page_id=546,831-335-4598,2026-07-17
Masood's Lodge,Lodging,Cabin and studio lodging,Wineries and lodging,Boulder Creek,13420 Big Basin Way,no,,Boulder Creek visitors,https://www.masoodslodge.com/,831-246-4517,2026-07-17
Mount Hermon Christian Camps & Conference Center,Lodging,Christian camp and conference center,Wineries and lodging,Mount Hermon,37 Conference Drive,no,,"Retreat, conference, and camp groups",https://www.mounthermon.org/,831-335-4466,2026-07-17
Quality Inn & Suites Santa Cruz Mountains,Lodging,Motel,Wineries and lodging,Ben Lomond,9733 Highway 9,no,,Ben Lomond and San Lorenzo Valley visitors,https://www.choicehotels.com/california/ben-lomond/quality-inn-hotels/ca498,831-336-2292,2026-07-17
Redwood Christian Park,Lodging,Christian retreat and group camp,Wineries and lodging,Boulder Creek,15000 Two Bar Road,no,,"Church groups, retreats, and registered family-camp participants",https://rcp.camp/,(831) 338-2134,2026-07-15
Redwood Resort RV Park and Campground,Lodging,RV park and seasonal campground,Wineries and lodging,Boulder Creek,150 Grove Street,no,,Boulder Creek visitors and extended-stay RV guests,https://www.redwoodresort.net/,(831) 338-3413,2026-07-15
AP Accounting & Consulting,Money & Professional Services,Accounting and tax preparation,"Money, professional and real estate",Boulder Creek,,yes,,Boulder Creek and the greater Bay Area,https://www.apaccountingconsulting.com/,408-309-0756,2026-07-17
BC Computer Repair,Money & Professional Services,Computer and IT repair,"Money, professional and real estate",Boulder Creek,13120 Pine Street,no,,Boulder Creek and the San Lorenzo Valley,https://www.santacruzpc.com/,831-706-4632,2026-07-22
Carpe Diem Financial Life Planning,Money & Professional Services,Financial advisor and tax services,"Money, professional and real estate",Ben Lomond,870 Woodland Drive,no,"Registered investment adviser, CRD #309092 (SEC IAPD); CFP, EA","San Lorenzo Valley, Scotts Valley, and Santa Cruz County",https://www.carpediem.financial/,831-539-9475,2026-07-17
Cassidy Insurance Agency,Money & Professional Services,Insurance agency,"Money, professional and real estate",Scotts Valley,"5521 Scotts Valley Drive, 2nd Floor",no,,Scotts Valley and Santa Cruz County,https://www.trustthecia.com/,831-438-5490,2026-07-16
Christina Wise Mobile Notary,Money & Professional Services,Mobile notary,"Money, professional and real estate",Felton,,yes,,"San Lorenzo Valley, including Boulder Creek, Ben Lomond, Brookdale, and Felton",https://www.christinawisemobilenotary.com/,831-588-0540,2026-07-16
Colin Giles - State Farm Insurance,Money & Professional Services,Insurance agency,"Money, professional and real estate",Felton,"6010 Highway 9, Suite 3",no,,Felton and the San Lorenzo Valley,https://www.statefarm.com/agent/us/ca/felton/colin-giles-9sgb31ys000,831-335-8442,2026-07-16
"Edward Jones - Zach Brown, CFP",Money & Professional Services,Financial advisor,"Money, professional and real estate",Scotts Valley,"5619 Scotts Valley Drive, Suite 120",no,,Scotts Valley and the San Lorenzo Valley,https://www.edwardjones.com/us-en/financial-advisor/zach-brown,831-438-2778,2026-07-16
Gott Computers,Money & Professional Services,Computer and IT repair,"Money, professional and real estate",Scotts Valley,5000 Scotts Valley Drive #3,no,,Santa Cruz County,https://gottcomputers.com/,831-246-6830,2026-07-16
Jim Flynn - State Farm Insurance,Money & Professional Services,Insurance agency,"Money, professional and real estate",Felton,6941 Highway 9,no,,Felton and the San Lorenzo Valley,https://jimflynn.org/,831-335-3421,2026-07-16
Laureen Yungmeyer - State Farm Insurance,Money & Professional Services,Insurance agency,"Money, professional and real estate",Scotts Valley,230-F Mount Hermon Road,no,,"Scotts Valley, Boulder Creek, Felton, and Ben Lomond",https://laureenyungmeyer.com/insurance,831-423-4700,2026-07-16
Liberty Bank - Boulder Creek,Money & Professional Services,Community bank branch,"Money, professional and real estate",Boulder Creek,13233 Highway 9,no,,San Lorenzo Valley,https://www.libertybk.com/,831-338-6477,2026-07-22
O'Brien & Company,Money & Professional Services,Bookkeeping,"Money, professional and real estate",Scotts Valley,552 Bean Creek Road #139,no,,"Scotts Valley, Felton, Ben Lomond, and Santa Cruz",https://www.obandcompany.com/,831-438-7535,2026-07-16
Shandra Hunt Mobile Notary,Money & Professional Services,Mobile notary,"Money, professional and real estate",Boulder Creek,,yes,,"San Lorenzo Valley, Scotts Valley, and Santa Cruz County",https://santacruzmobilenotary.biz/,831-334-0748,2026-07-16
SLV Bookkeeping,Money & Professional Services,Bookkeeping,"Money, professional and real estate",San Lorenzo Valley,,yes,,San Lorenzo Valley and Santa Cruz County,https://www.instagram.com/slvbookkeeping/,,2026-07-17
"SLV Tax (Virginia Justus, EA)",Money & Professional Services,Tax preparation,"Money, professional and real estate",Ben Lomond,,yes,,San Lorenzo Valley,https://www.slvtax.com,,2026-07-16
"Superior Tax Service (Allan R. Polus, EA)",Money & Professional Services,Tax preparation,"Money, professional and real estate",Boulder Creek,12615 Highway 9,no,,Boulder Creek and the San Lorenzo Valley,https://taxexperts.naea.org/listing/allan-polus-5628a596ed750.html,831-338-2222,2026-07-16
"Timothy Imbrie, CPA MBA",Money & Professional Services,CPA firm,"Money, professional and real estate",Scotts Valley,"4340 Scotts Valley Drive, Suite G",no,,"Scotts Valley and Santa Cruz County, including the San Lorenzo Valley",https://imbriecpa.com/,831-438-4122,2026-07-16
Barbara Day Park (Dam Park),Parks & Recreation,River park,Parks and recreation,Boulder Creek,,no,,Boulder Creek Recreation and Park District,https://www.bcrpd.org/parks,(831) 338-4144,2026-07-15
Big Basin Redwoods State Park,Parks & Recreation,State park and redwood trails,Parks and recreation,Boulder Creek,20161 Big Basin Way,no,,Santa Cruz Mountains,https://www.parks.ca.gov/?page_id=540,(831) 338-8860,2026-07-15
Boulder Creek Golf & Country Club,Parks & Recreation,Golf course,Parks and recreation,Boulder Creek,16901 Big Basin Highway,no,,Boulder Creek and visiting golfers,https://www.bouldercreekgolf.com/,(831) 338-2111,2026-08-08
Boulder Creek Recreation & Park District,Parks & Recreation,Recreation district and community center,Parks and recreation,Boulder Creek,13333 Middleton Avenue,no,,Boulder Creek Recreation and Park District,https://www.bcrpd.org/,(831) 338-4144,2026-07-15
Camp Harmon,Parks & Recreation,Accessible camp and recreation program,Parks and recreation,Boulder Creek,16403 Highway 9,no,,Program participants and families,https://www.campharmon.org/,(831) 338-3383,2026-07-15
Garrahan Park,Parks & Recreation,Community park and sports field,Parks and recreation,Boulder Creek,15555 Highway 9,no,,Boulder Creek Recreation and Park District,https://www.bcrpd.org/parks,(831) 338-4144,2026-07-15
Junction Park,Parks & Recreation,River park and picnic area,Parks and recreation,Boulder Creek,Middleton Avenue at Railroad Avenue,no,,Boulder Creek Recreation and Park District,https://www.bcrpd.org/parks,(831) 338-4144,2026-07-15
Redwood Canopy Tour (Mount Hermon Adventures),Parks & Recreation,Zipline canopy tour,Parks and recreation,Felton,17 Conference Drive,no,,San Lorenzo Valley / Santa Cruz County,https://mounthermonadventures.com/rct,831-430-4357,2026-07-17
Roaring Camp Railroads,Parks & Recreation,Heritage railroad & attraction,Parks and recreation,Felton,5401 Graham Hill Road,no,,San Lorenzo Valley / Santa Cruz County,https://www.roaringcamp.com/,831-335-4484,2026-07-17
YMCA Camp Campbell,Parks & Recreation,Youth and family camp,Parks and recreation,Boulder Creek,16275 Highway 9,no,,"Youth, families, schools, and retreat groups",https://www.ymcasv.org/camp-campbell,(831) 338-2128,2026-07-15
A to Z Party Rental,Party Rentals & Decor,Event rentals,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County and the Central Coast,https://a2zpartyrental.com/,,2026-07-17
Aesthetic Events & Co.,Party Rentals & Decor,Balloon decor and party rentals,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://aestheticeventsofsc.com/,,2026-07-17
Alexis Party Rental,Party Rentals & Decor,Event rentals,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://alexispartyrental.com/,,2026-07-17
Astro Jump of Santa Cruz,Party Rentals & Decor,Bounce house and party rentals,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://astrojump.com/santacruz,831-475-5055,2026-07-17
Bash Works,Party Rentals & Decor,Bounce houses and balloon decor,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://www.thebashworks.com/,831-234-0530,2026-07-17
Chic Event Rentals,Party Rentals & Decor,Event rentals,"Weddings, parties and events",Santa Cruz,,yes,,Monterey and Santa Cruz counties,https://chiceventrentals.com/,,2026-07-17
Luzovich Celebrations,Party Rentals & Decor,Balloon styling and party decor,"Weddings, parties and events",San Lorenzo Valley,,yes,,"Santa Cruz County, including Boulder Creek and the San Lorenzo Valley",https://www.instagram.com/luzovichcelebrations/,831-818-5407,2026-07-17
Boulder Creek Veterinary Clinic,Pets & Animals,Veterinary clinic,Pets and animals,Boulder Creek,12870 Highway 9,no,,Boulder Creek and surrounding communities,https://bouldercreekveterinaryclinic.com/,831-338-7205,2026-07-15
Camp Happy Tails,Pets & Animals,Pet boarding and sitting,Pets and animals,Felton,,yes,,San Lorenzo Valley,https://happytailspetsit.com/,831-247-8245,2026-07-16
Dapper Dogs & Divas,Pets & Animals,Pet grooming,Pets and animals,Felton,"6144 Highway 9, Unit B",no,,Felton and the San Lorenzo Valley,https://www.facebook.com/DapperDogsandDivas/,831-216-6462,2026-07-16
Felton Veterinary Hospital,Pets & Animals,Veterinary clinic and boarding,Pets and animals,Felton,5996 Highway 9,no,,Felton and the San Lorenzo Valley,https://www.feltonveterinaryhospital.com/,831-335-3466,2026-07-16
Fintastic Fish,Pets & Animals,Aquarium and fish store,Pets and animals,Scotts Valley,"224 Mt Hermon Rd, Ste C",no,,San Lorenzo Valley and Santa Cruz County,https://www.fintasticfishstore.com/,831-316-3424,2026-07-17
Mountain Paw Spa,Pets & Animals,Pet grooming,Pets and animals,Ben Lomond,,yes,,Ben Lomond and the San Lorenzo Valley,https://mountain-paw-spa.square.site/,831-266-7998,2026-07-17
Pet Shop Santa Cruz,Pets & Animals,"Pet store (reptiles, fish, feeders)",Pets and animals,Santa Cruz,,no,,Santa Cruz County,https://petshopsantacruz.com/,831-429-1242,2026-07-17
Sirius K9 Training,Pets & Animals,Dog training,Pets and animals,Boulder Creek,,yes,,Santa Cruz County,https://www.siriusk9-training.com/,408-805-4583,2026-07-17
Apollo Plumbing,Plumbing & HVAC,Plumbing,Building and maintaining property,Boulder Creek,,yes,"CSLB #1122739 (active, C-36)",Boulder Creek and Santa Cruz County,https://apolloplumbing831.com/,831-251-0931,2026-07-15
"Collins Coastal Plumbing, Inc.",Plumbing & HVAC,Plumbing,Building and maintaining property,Ben Lomond,,yes,"CSLB #1004212 (active, C-36)",,https://www.collinscoastal.com/,831-239-2870,2026-07-16
Herranen Heating & Air,Plumbing & HVAC,Heating and air conditioning (HVAC),Building and maintaining property,Ben Lomond,,yes,"CSLB #814852 (active, C-20)",,,831-247-9102,2026-07-16
Hwy 9 Plumbing,Plumbing & HVAC,Plumbing,Building and maintaining property,Boulder Creek,,yes,"CSLB #1045811 (active, C-36)",,,831-610-8147,2026-07-16
J Fisher Plumbing,Plumbing & HVAC,Plumbing,Building and maintaining property,Felton,,yes,"CSLB #985600 (active, C-36)",,,831-345-5316,2026-07-17
NorCal HVAC,Plumbing & HVAC,Heating and air conditioning (HVAC),Building and maintaining property,Soquel,,yes,"CSLB #1126623 (active, C-20)",,,831-706-6178,2026-07-17
"Travis Martin Plumbing, Inc.",Plumbing & HVAC,Plumbing and water heaters,Building and maintaining property,Boulder Creek,"6185 Graham Hill Rd, Felton",no,"CSLB #1048423 (active, C-36)",,https://www.santacruzcaplumber.com/,831-461-4300,2026-07-22
"Wade's, Inc.",Plumbing & HVAC,Plumbing,Building and maintaining property,Ben Lomond,,yes,"CSLB #1087260 (active, C-36, C-42)",,,831-225-4344,2026-07-16
Zephyr Climate Solutions,Plumbing & HVAC,Heating and air conditioning (HVAC),Building and maintaining property,Felton,,yes,"CSLB #1072237 (active, C-20)",,https://zephyrclimatesolutions.com/,831-227-8186,2026-07-16
CENTURY 21 Masters - Boulder Creek,Real Estate,Real estate brokerage,"Money, professional and real estate",Boulder Creek,13117 Highway 9,no,,San Lorenzo Valley and Santa Cruz County,https://c21masters.com/offices/,831-338-2125,2026-07-15
Houdesheldt Traditional Team,Real Estate,Residential real estate team,"Money, professional and real estate",Boulder Creek,13117 Highway 9,no,,San Lorenzo Valley and Santa Cruz Mountains,https://www.facebook.com/SheriHoudesheldtRealtor/,831-281-6354,2026-07-22
Schwarzbach Associates,Real Estate,Real estate brokerage,"Money, professional and real estate",Boulder Creek,13335 Highway 9,no,,"Boulder Creek, San Lorenzo Valley, and Santa Cruz County",https://www.schwarzbachassociatesinc.com/,831-338-2171,2026-07-15
Adventure Gift Store,Shopping,Online gift shop,Shopping and errands,Boulder Creek,,no,,Online,https://adventuregift.store/,,2026-07-22
Air & Fire: A Mystical Bazaar,Shopping,Gifts and metaphysical goods,Shopping and errands,Boulder Creek,13150 Highway 9,no,,Boulder Creek,https://www.airandfire.com/home.html,831-338-7567,2026-07-15
Beck's Shoes - Boulder Creek,Shopping,Footwear,Shopping and errands,Boulder Creek,12550 Highway 9,no,,Boulder Creek and the Santa Cruz Mountains,https://www.beckshoes.com/stores/boulder-creek-ca-boulder-creek,831-703-4307,2026-08-06
Boulder Creek Antiques at Mac's Place,Shopping,Multi-vendor antique store,Shopping and errands,Boulder Creek,13164 Highway 9,no,,Boulder Creek,https://www.facebook.com/bouldercreekantiquesatmacsplace/,831-217-5060,2026-07-22
Boulder Creek Pharmacy,Shopping,Pharmacy,Shopping and errands,Boulder Creek,13081 Central Avenue,no,,Boulder Creek and the San Lorenzo Valley,https://www.bouldercreekrx.com/,831-338-2144,2026-07-15
Creekside Wellness,Shopping,Cannabis dispensary,Shopping and errands,Boulder Creek,12603 Highway 9,no,,Boulder Creek and surrounding communities,https://creeksidewellness.co/,831-338-3840,2026-07-15
Ginia's Gems,Shopping,Handmade jewelry and gifts,Shopping and errands,Boulder Creek,13133 Highway 9,no,,Boulder Creek,https://www.giniasgems.com/,831-332-3681,2026-07-22
Good Vibes Boulder Creek,Shopping,Lifestyle boutique,Shopping and errands,Boulder Creek,13124 Highway 9,no,,Boulder Creek,https://goodvibesbc.com/,408-829-1578,2026-08-16
